Record_Number,Channel,CAN_ID_Hex,Frame_Type,Length,Timestamp,Data_Hex,First_4_Bytes,Float_Value
151,0,0x10F,STD,8,2026-01-28T18:46:31.263515,03 00 02 00 82 F5 22 41,03000200,0.000000
152,0,0x10F,STD,8,2026-01-28T18:46:31.263515,03 00 01 00 00 00 00 00,03000100,0.000000
153,0,0x110,STD,8,2026-01-28T18:46:31.263515,03 00 02 00 82 F5 22 41,03000200,0.000000
154,0,0x10F,STD,8,2026-01-28T18:46:31.298523,03 00 03 00 00 3E 21 3D,03000300,0.000000
155,0,0x110,STD,8,2026-01-28T18:46:31.322528,03 00 03 00 EF B5 58 48,03000300,0.000000
156,0,0x10F,STD,8,2026-01-28T18:46:31.378630,03 00 03 00 6D 4B 35 3D,03000300,0.000000
157,0,0x110,STD,8,2026-01-28T18:46:31.402636,03 00 03 00 78 E0 89 48,03000300,0.000000
158,0,0x10F,STD,8,2026-01-28T18:46:31.459649,03 00 03 00 95 DE 6C 3D,03000300,0.000000
159,0,0x110,STD,8,2026-01-28T18:46:31.483654,03 00 03 00 E8 A2 3E 48,03000300,0.000000
160,0,0x10F,STD,8,2026-01-28T18:46:31.540667,03 00 03 00 4B E7 60 3D,03000300,0.000000
161,0,0x110,STD,8,2026-01-28T18:46:31.564672,03 00 03 00 BA 30 84 48,03000300,0.000000
162,0,0x10F,STD,8,2026-01-28T18:46:31.621685,03 00 03 00 F3 8C FA 3C,03000300,0.000000
163,0,0x110,STD,8,2026-01-28T18:46:31.645691,03 00 03 00 28 B4 F6 48,03000300,0.000000
164,0,0x10F,STD,8,2026-01-28T18:46:31.691701,03 00 03 00 E3 D4 44 3D,03000300,0.000000
165,0,0x110,STD,8,2026-01-28T18:46:31.715706,03 00 03 00 0F 3F B8 48,03000300,0.000000
166,0,0x10F,STD,8,2026-01-28T18:46:31.772476,03 00 03 00 5F 68 0A 3D,03000300,0.000000
167,0,0x110,STD,8,2026-01-28T18:46:31.795995,03 00 03 00 32 40 E3 48,03000300,0.000000
168,0,0x10F,STD,8,2026-01-28T18:46:31.853009,03 00 03 00 A1 06 12 3D,03000300,0.000000
169,0,0x110,STD,8,2026-01-28T18:46:31.877015,03 00 03 00 05 65 F6 48,03000300,0.000000
170,0,0x10F,STD,8,2026-01-28T18:46:31.934028,03 00 03 00 99 51 09 3D,03000300,0.000000
171,0,0x110,STD,8,2026-01-28T18:46:31.958032,03 00 03 00 FC 99 B0 48,03000300,0.000000
172,0,0x10F,STD,8,2026-01-28T18:46:32.014506,03 00 03 00 19 1F 12 3D,03000300,0.000000
173,0,0x110,STD,8,2026-01-28T18:46:32.038512,03 00 03 00 EA D3 98 48,03000300,0.000000
174,0,0x10F,STD,8,2026-01-28T18:46:32.095525,03 00 03 00 20 CB 53 3D,03000300,0.000000
175,0,0x110,STD,8,2026-01-28T18:46:32.119530,03 00 03 00 C8 9A D1 48,03000300,0.000000
176,0,0x10F,STD,8,2026-01-28T18:46:32.176543,03 00 03 00 79 3D 2B 3D,03000300,0.000000
177,0,0x110,STD,8,2026-01-28T18:46:32.200548,03 00 03 00 FE 7D A2 48,03000300,0.000000
178,0,0x10F,STD,8,2026-01-28T18:46:32.257561,03 00 03 00 24 36 70 3D,03000300,0.000000
179,0,0x110,STD,8,2026-01-28T18:46:32.281566,03 00 03 00 1B F2 61 48,03000300,0.000000
180,0,0x110,STD,8,2026-01-28T18:46:32.316574,03 00 01 00 00 00 00 00,03000100,0.000000
181,0,0x110,STD,8,2026-01-28T18:46:32.316574,03 00 02 00 0E 82 2F 41,03000200,0.000000
182,0,0x10F,STD,8,2026-01-28T18:46:32.317575,03 00 01 00 00 00 00 00,03000100,0.000000
183,0,0x110,STD,8,2026-01-28T18:46:32.320575,03 00 01 00 00 00 00 00,03000100,0.000000
184,0,0x10F,STD,8,2026-01-28T18:46:32.334578,03 00 03 00 0F 76 3D 3D,03000300,0.000000
185,0,0x110,STD,8,2026-01-28T18:46:32.358584,03 00 03 00 2F 33 83 48,03000300,0.000000
186,0,0x10F,STD,8,2026-01-28T18:46:32.408595,03 00 03 00 CF BE 57 3D,03000300,0.000000
187,0,0x110,STD,8,2026-01-28T18:46:32.434601,03 00 03 00 A0 82 A6 48,03000300,0.000000
188,0,0x10F,STD,8,2026-01-28T18:46:32.491614,03 00 03 00 5E CC 61 3D,03000300,0.000000
189,0,0x110,STD,8,2026-01-28T18:46:32.515620,03 00 03 00 84 EC C4 48,03000300,0.000000
190,0,0x10F,STD,8,2026-01-28T18:46:32.572632,03 00 03 00 CA 65 5E 3D,03000300,0.000000
191,0,0x110,STD,8,2026-01-28T18:46:32.597637,03 00 03 00 9A 1F 7A 48,03000300,0.000000
192,0,0x10F,STD,8,2026-01-28T18:46:32.654650,03 00 03 00 4A 3E 86 3D,03000300,0.000000
193,0,0x110,STD,8,2026-01-28T18:46:32.678656,03 00 03 00 D3 38 10 48,03000300,0.000000
194,0,0x10F,STD,8,2026-01-28T18:46:32.735669,03 00 03 00 15 B0 51 3D,03000300,0.000000
195,0,0x110,STD,8,2026-01-28T18:46:32.752673,03 00 03 00 4C D9 69 48,03000300,0.000000
196,0,0x10F,STD,8,2026-01-28T18:46:32.811686,03 00 03 00 AE 7F 9A 3D,03000300,0.000000
197,0,0x110,STD,8,2026-01-28T18:46:32.835195,03 00 03 00 12 66 67 48,03000300,0.000000
198,0,0x10F,STD,8,2026-01-28T18:46:32.892208,03 00 03 00 DD A4 9C 3D,03000300,0.000000
199,0,0x110,STD,8,2026-01-28T18:46:32.916213,03 00 03 00 A7 8D 3C 48,03000300,0.000000
200,0,0x10F,STD,8,2026-01-28T18:46:32.973226,03 00 03 00 95 76 7C 3D,03000300,0.000000
201,0,0x110,STD,8,2026-01-28T18:46:32.997231,03 00 03 00 33 70 6C 48,03000300,0.000000
202,0,0x10F,STD,8,2026-01-28T18:46:33.053748,03 00 03 00 10 1C 9C 3D,03000300,0.000000
203,0,0x110,STD,8,2026-01-28T18:46:33.077754,03 00 03 00 E6 32 36 48,03000300,0.000000
204,0,0x10F,STD,8,2026-01-28T18:46:33.134767,03 00 03 00 0E 95 6D 3D,03000300,0.000000
205,0,0x110,STD,8,2026-01-28T18:46:33.158772,03 00 03 00 12 99 58 48,03000300,0.000000
206,0,0x10F,STD,8,2026-01-28T18:46:33.215785,03 00 03 00 B3 48 8B 3D,03000300,0.000000
207,0,0x110,STD,8,2026-01-28T18:46:33.239294,03 00 03 00 E2 4A 92 48,03000300,0.000000
208,0,0x10F,STD,8,2026-01-28T18:46:33.284807,03 00 03 00 7D BB 43 3D,03000300,0.000000
209,0,0x110,STD,8,2026-01-28T18:46:33.308812,03 00 03 00 27 62 19 48,03000300,0.000000
210,0,0x10F,STD,8,2026-01-28T18:46:33.354822,03 00 02 00 0E 82 2F 41,03000200,0.000000
211,0,0x110,STD,8,2026-01-28T18:46:33.356325,03 00 01 00 00 00 00 00,03000100,0.000000
212,0,0x10F,STD,8,2026-01-28T18:46:33.358327,03 00 02 00 3E 01 37 41,03000200,0.000000
213,0,0x110,STD,8,2026-01-28T18:46:33.358327,03 00 02 00 3E 01 37 41,03000200,0.000000
214,0,0x10F,STD,8,2026-01-28T18:46:33.371330,03 00 03 00 D8 7C 22 3D,03000300,0.000000
215,0,0x110,STD,8,2026-01-28T18:46:33.394841,03 00 03 00 E1 8E 43 48,03000300,0.000000
216,0,0x10F,STD,8,2026-01-28T18:46:33.451853,03 00 03 00 8A 8F 03 3D,03000300,0.000000
217,0,0x110,STD,8,2026-01-28T18:46:33.475363,03 00 03 00 42 BA 2A 48,03000300,0.000000
218,0,0x10F,STD,8,2026-01-28T18:46:33.524374,03 00 03 00 27 54 CB 3C,03000300,0.000000
219,0,0x110,STD,8,2026-01-28T18:46:33.559382,03 00 03 00 1B 36 3B 48,03000300,0.000000
220,0,0x10F,STD,8,2026-01-28T18:46:33.605392,03 00 03 00 86 FE 06 3D,03000300,0.000000
221,0,0x110,STD,8,2026-01-28T18:46:33.629397,03 00 03 00 B0 62 7C 48,03000300,0.000000
222,0,0x10F,STD,8,2026-01-28T18:46:33.686410,03 00 03 00 32 6B C3 3C,03000300,0.000000
223,0,0x110,STD,8,2026-01-28T18:46:33.710416,03 00 03 00 2A 4A 9E 47,03000300,0.000000
224,0,0x10F,STD,8,2026-01-28T18:46:33.767429,03 00 03 00 7B 9E 15 3D,03000300,0.000000
225,0,0x110,STD,8,2026-01-28T18:46:33.791434,03 00 03 00 2A F3 D9 47,03000300,0.000000
226,0,0x10F,STD,8,2026-01-28T18:46:33.848447,03 00 03 00 EC 99 C6 3C,03000300,0.000000
227,0,0x110,STD,8,2026-01-28T18:46:33.872452,03 00 03 00 2A 19 59 48,03000300,0.000000
228,0,0x10F,STD,8,2026-01-28T18:46:33.929386,03 00 03 00 07 60 45 3D,03000300,0.000000
229,0,0x110,STD,8,2026-01-28T18:46:33.952895,03 00 03 00 B1 0E EF 47,03000300,0.000000
230,0,0x10F,STD,8,2026-01-28T18:46:34.002410,03 00 03 00 4D 33 32 3D,03000300,0.000000
231,0,0x110,STD,8,2026-01-28T18:46:34.037418,03 00 03 00 F6 38 8F 48,03000300,0.000000
232,0,0x10F,STD,8,2026-01-28T18:46:34.083429,03 00 03 00 C8 11 38 3D,03000300,0.000000
233,0,0x110,STD,8,2026-01-28T18:46:34.117940,03 00 03 00 73 CE 25 48,03000300,0.000000
234,0,0x10F,STD,8,2026-01-28T18:46:34.163456,03 00 03 00 E8 50 57 3D,03000300,0.000000
235,0,0x110,STD,8,2026-01-28T18:46:34.187461,03 00 03 00 B7 24 46 48,03000300,0.000000
236,0,0x10F,STD,8,2026-01-28T18:46:34.244474,03 00 03 00 E4 06 07 3D,03000300,0.000000
237,0,0x110,STD,8,2026-01-28T18:46:34.268479,03 00 03 00 E9 E7 19 48,03000300,0.000000
238,0,0x10F,STD,8,2026-01-28T18:46:34.325492,03 00 03 00 F8 CC 4E 3D,03000300,0.000000
239,0,0x110,STD,8,2026-01-28T18:46:34.349498,03 00 03 00 C5 E5 02 48,03000300,0.000000
240,0,0x10F,STD,8,2026-01-28T18:46:34.406539,03 00 03 00 6B E6 23 3D,03000300,0.000000
241,0,0x10F,STD,8,2026-01-28T18:46:34.419542,03 00 01 00 00 00 00 00,03000100,0.000000
242,0,0x110,STD,8,2026-01-28T18:46:34.419542,03 00 01 00 00 00 00 00,03000100,0.000000
243,0,0x10F,STD,8,2026-01-28T18:46:34.419542,03 00 02 00 39 C4 3E 41,03000200,0.000000
244,0,0x110,STD,8,2026-01-28T18:46:34.419542,03 00 02 00 39 C4 3E 41,03000200,0.000000
